Data,Time,latitude,longitude,PM1,PM2.5,PM10,CO2,SO2,NO2,CO,O3,TEMP.,HUMI.
08-03-22,9:46:16,29.863116,77.89878,57,70,79,0,0,0,0,0,25.6,50.5
08-03-22,9:46:26,29.863108,77.898756,57,70,79,0,0,0,0,0,25.6,50.6
08-03-22,9:46:36,29.863088,77.898743,57,70,79,0,0,0,0,0,25.6,50.6
08-03-22,9:46:46,29.86307,77.898741,58,71,80,0,0,0,0,0,25.6,50.6
08-03-22,9:46:56,29.86303,77.89873,58,71,80,0,0,0,0,0,25.6,50.6
08-03-22,9:47:06,29.86303,77.89873,58,72,81,0,0,0,0,0,25.5,50.7
08-03-22,9:47:16,29.862995,77.898726,59,73,83,0,0,0,0,0,25.5,50.7
08-03-22,9:47:26,29.863,77.898731,59,73,82,0,0,0,0,0,25.5,50.7
08-03-22,9:47:36,29.863006,77.898749,59,73,82,0,0,0,0,0,25.5,50.8
08-03-22,9:47:47,29.863003,77.898735,57,70,79,0,0,0,0,0,25.5,50.8
08-03-22,9:47:57,29.863045,77.898711,57,70,79,0,0,0,0,0,25.4,50.8
08-03-22,9:48:07,29.863056,77.898671,57,70,79,0,0,0,0,0,25.4,50.9
08-03-22,9:48:16,29.863005,77.898555,56,69,78,0,0,0,0,0,25.4,51
08-03-22,9:48:26,29.862963,77.898524,57,70,79,0,0,0,0,0,25.4,51
08-03-22,9:48:36,29.862935,77.898483,57,70,79,0,0,0,0,0,25.3,51.1
08-03-22,9:48:47,29.862946,77.898543,57,70,79,0,0,0,0,0,25.3,51.1
08-03-22,9:48:57,29.862986,77.898666,58,72,81,0,0,0,0,0,25.3,51.2
08-03-22,9:49:07,29.862973,77.89865,59,73,82,0,0,0,0,0,25.3,51.2
08-03-22,9:49:16,29.863019,77.898688,58,72,81,0,0,0,0,0,25.2,51.6
08-03-22,9:49:26,29.863103,77.898645,58,72,81,0,0,0,0,0,25.2,51.8
08-03-22,9:49:36,29.863118,77.898609,61,75,85,0,0,0,0,0,25.2,51.9
08-03-22,9:49:46,29.86324,77.898648,63,78,88,0,0,0,0,0,25.1,52.3
08-03-22,9:49:56,29.863308,77.898728,64,79,90,0,0,0,0,0,25.1,53.1
08-03-22,9:50:06,29.863341,77.89874,66,82,93,0,0,0,0,0,25,52.8
08-03-22,9:50:16,29.863326,77.898726,69,85,96,0,0,0,0,0,24.9,52.6
08-03-22,9:50:25,29.863006,77.898561,71,87,100,0,0,0,0,0,24.8,51.8
08-03-22,9:50:35,29.862993,77.8985,72,89,101,0,0,0,0,0,24.7,51.6
08-03-22,9:50:45,29.862989,77.898451,73,90,102,0,0,0,0,0,24.7,51.9
08-03-22,9:50:56,29.863101,77.898433,74,91,103,0,0,0,0,0,24.7,53.4
08-03-22,9:51:06,29.863166,77.898481,75,93,105,0,0,0,0,0,24.7,52.9
08-03-22,9:51:16,29.863103,77.898446,76,94,107,0,0,0,0,0,24.7,52.3
08-03-22,9:51:26,29.863078,77.898305,74,91,103,0,0,0,0,0,24.6,51.9
08-03-22,9:51:36,29.863143,77.898125,73,90,102,0,0,0,0,0,24.5,51.5
08-03-22,9:51:46,29.863328,77.897905,71,88,100,0,0,0,0,0,24.5,51.9
08-03-22,9:51:55,29.863865,77.897973,71,88,99,0,0,0,0,0,24.5,52.9
08-03-22,9:52:05,29.864145,77.89781,69,85,96,0,0,0,0,0,24.5,52.6
08-03-22,9:52:15,29.864181,77.89708,69,85,96,0,0,0,0,0,24.3,53.5
08-03-22,9:52:25,29.864169,77.896291,72,89,101,0,0,0,0,0,24.2,53.2
08-03-22,9:52:35,29.86418,77.895501,77,95,108,0,0,0,0,0,24.2,53.9
08-03-22,9:52:45,29.864216,77.894728,80,99,113,0,0,0,0,0,24.1,54.4
08-03-22,9:52:55,29.864268,77.893966,85,105,119,0,0,0,0,0,24,54.7
08-03-22,9:53:05,29.864368,77.893289,93,114,130,0,0,0,0,0,23.9,55.4
08-03-22,9:53:15,29.864394,77.892545,100,123,140,0,0,0,0,0,23.8,55.4
08-03-22,9:53:25,29.864578,77.892193,106,130,149,0,0,0,0,0,23.8,55.8
08-03-22,9:53:35,29.865058,77.892188,112,138,157,0,0,0,0,0,23.8,56.2
08-03-22,9:53:32,29.865635,77.891863,117,144,164,0,0,0,0,0,23.8,56.1
08-03-22,9:53:42,29.866015,77.891321,122,150,170,0,0,0,0,0,23.7,56.6
08-03-22,9:54:06,29.866098,77.891001,128,157,178,0,0,0,0,0,23.6,56.5
08-03-22,9:54:16,29.866076,77.89024,132,162,184,0,0,0,0,0,23.6,56.7
08-03-22,9:54:26,29.865826,77.889825,136,167,190,0,0,0,0,0,23.5,56.4
08-03-22,9:54:35,29.86557,77.889523,140,172,199,0,0,0,0,0,23.5,56.6
08-03-22,9:54:45,29.865615,77.889183,144,177,201,0,0,0,0,0,23.5,56.8
08-03-22,9:54:55,29.865863,77.888673,146,179,205,0,0,0,0,0,23.6,57.4
08-03-22,9:55:05,29.86602,77.888383,149,183,211,0,0,0,0,0,23.6,57.1
08-03-22,9:55:15,29.865403,77.888246,150,184,209,0,0,0,0,0,23.5,56.3
08-03-22,9:55:25,29.864833,77.888141,150,184,210,0,0,0,0,0,23.5,56.6
08-03-22,9:55:35,29.864198,77.888056,151,185,210,0,0,0,0,0,23.5,57.1
08-03-22,9:55:45,29.863581,77.887961,155,190,216,0,0,0,0,0,23.5,57.4
08-03-22,9:55:55,29.862815,77.887878,158,194,221,0,0,0,0,0,23.4,58.3
08-03-22,9:56:05,29.862183,77.887763,157,193,220,0,0,0,0,0,23.5,58.4
08-03-22,9:56:14,29.861921,77.887726,159,195,222,0,0,0,0,0,23.5,58.5
08-03-22,9:56:24,29.861628,77.887173,160,196,223,0,0,0,0,0,23.5,58.5
08-03-22,9:56:34,29.861698,77.886465,160,196,224,0,0,0,0,0,23.4,58.9
08-03-22,9:56:45,29.861765,77.885633,158,194,222,0,0,0,0,0,23.3,58.9
08-03-22,9:56:55,29.861806,77.884923,156,191,220,0,0,0,0,0,23.2,58.8
08-03-22,9:57:06,29.861916,77.884233,155,190,217,0,0,0,0,0,23.2,59.2
08-03-22,9:57:16,29.861924,77.883683,151,186,212,0,0,0,0,0,23.1,59
08-03-22,9:57:26,29.861526,77.883524,152,187,216,0,0,0,0,0,23.1,59.3
08-03-22,9:57:36,29.861131,77.883404,154,189,216,0,0,0,0,0,23.2,59.1
08-03-22,9:57:46,29.860736,77.883289,151,185,211,0,0,0,0,0,23.2,58.9
08-03-22,9:57:56,29.860335,77.883196,147,181,207,0,0,0,0,0,23.2,58.8
08-03-22,9:58:06,29.8599,77.883098,147,180,207,0,0,0,0,0,23.2,59.1
08-03-22,9:58:16,29.859526,77.882986,143,176,201,0,0,0,0,0,23.2,59.5
08-03-22,9:58:23,29.858991,77.882843,142,175,201,0,0,0,0,0,23.3,60.3
08-03-22,9:58:33,29.858541,77.882731,139,171,196,0,0,0,0,0,23.3,60.5
08-03-22,10:03:11,29.863723,77.878508,114,140,159,0,0,0,0,0,24.3,56.2
08-03-22,10:03:21,29.864135,77.878536,116,143,162,0,0,0,0,0,24.4,56
