Data,Time,latitude,longitude,PM1,PM2.5,PM10,CO2,SO2,NO2,CO,O3,H2S,TEMP.,HUMI.
08-03-22,17:58:31,29.865567,77.891799,69,86,88,0,0.026,-0.023,0.25,-0.024,0,25.1,54.2
08-03-22,17:58:34,29.865567,77.891799,70,87,89,0,0.026,-0.023,0.25,-0.023,0,25.2,54.1
08-03-22,17:58:37,29.865567,77.891799,71,88,91,0,0.025,-0.023,0.25,-0.023,0,25.2,54.1
08-03-22,17:58:40,29.865755,77.891291,71,89,90,0,0.025,-0.023,0.26,-0.023,0,25.1,54.3
08-03-22,17:58:43,29.865755,77.891291,72,89,92,0,0.025,-0.023,0.26,-0.023,0,25.1,54.1
08-03-22,17:58:46,29.865755,77.891291,72,90,94,0,0.025,-0.023,0.26,-0.024,0,25.1,53.8
08-03-22,17:58:49,29.865755,77.891291,72,91,94,0,0.025,-0.023,0.26,-0.023,0,25.2,53.6
08-03-22,17:59:01,29.86565,77.889905,70,88,89,0,0.025,-0.023,0.26,-0.023,0,25.2,54.7
08-03-22,17:59:04,29.86565,77.889905,72,88,89,0,0.025,-0.023,0.25,-0.023,0,25.3,54.9
08-03-22,17:59:07,29.86565,77.889905,73,89,90,0,0.025,-0.023,0.25,-0.023,0,25.3,55
08-03-22,17:59:10,29.86565,77.889905,73,90,94,0,0.025,-0.023,0.25,-0.023,0,25.3,55
08-03-22,17:59:13,29.865488,77.889511,74,91,93,0,0.025,-0.023,0.25,-0.023,0,25.3,54.5
08-03-22,17:59:16,29.865488,77.889511,75,91,98,0,0.026,-0.023,0.25,-0.023,0,25.3,54
08-03-22,17:59:19,29.865488,77.889511,75,93,99,0,0.026,-0.023,0.25,-0.023,0,25.3,53.8
08-03-22,17:59:22,29.864998,77.889294,76,93,95,0,0.026,-0.023,0.25,-0.024,0,25.4,53.7
08-03-22,17:59:25,29.864998,77.889294,77,93,98,0,0.026,-0.023,0.25,-0.024,0,25.4,53.4
08-03-22,17:59:28,29.864998,77.889294,77,95,98,0,0.026,-0.023,0.25,-0.024,0,25.4,53.3
08-03-22,17:59:31,29.864299,77.889256,77,95,98,0,0.026,-0.023,0.26,-0.024,0,25.4,53.3
08-03-22,17:59:34,29.864299,77.889256,78,95,98,0,0.026,-0.023,0.26,-0.024,0,25.5,53.3
08-03-22,17:59:37,29.864299,77.889256,79,96,100,0,0.026,-0.023,0.26,-0.024,0,25.5,53.3
08-03-22,17:59:40,29.864299,77.889256,80,97,101,0,0.026,-0.023,0.26,-0.024,0,25.5,53
08-03-22,17:59:43,29.863876,77.889155,80,98,99,0,0.026,-0.023,0.26,-0.024,0,25.5,52.8
08-03-22,17:59:46,29.863876,77.889155,82,99,102,0,0.026,-0.023,0.26,-0.024,0,25.5,52.6
