Data,Time,latitude,longitude,PM1,PM2.5,PM10,CO2,SO2,NO2,CO,O3,H2S,TEMP.,HUMI.
08-03-22,14:18:52,29.863533,77.899925,39,47,48,0,0.02,-0.018,0.18,-0.018,0,28,40.6
08-03-22,14:18:55,29.863533,77.899925,40,48,48,0,0.02,-0.018,0.17,-0.018,0,28,40.5
08-03-22,14:18:58,29.863533,77.899925,40,48,49,0,0.02,-0.018,0.17,-0.019,0,28,40.5
08-03-22,14:19:01,29.863533,77.899925,40,49,49,0,0.02,-0.018,0.18,-0.019,0,28.1,40.5
08-03-22,14:19:04,29.864903,77.899213,39,49,49,0,0.02,-0.018,0.17,-0.018,0,28.1,40.8
08-03-22,14:19:07,29.864903,77.899213,39,48,49,0,0.02,-0.018,0.18,-0.018,0,28.1,40.8
08-03-22,14:19:10,29.864903,77.899213,39,48,49,0,0.02,-0.018,0.17,-0.018,0,28.2,40.8
08-03-22,14:19:13,29.864915,77.899175,39,48,48,0,0.02,-0.018,0.18,-0.018,0,28.2,40.5
08-03-22,14:19:16,29.864915,77.899175,39,48,50,0,0.02,-0.018,0.18,-0.019,0,28.2,40.4
08-03-22,14:19:19,29.864915,77.899175,40,48,48,0,0.02,-0.018,0.18,-0.019,0,28.3,40.7
08-03-22,14:19:22,29.864893,77.899187,40,48,49,0,0.02,-0.018,0.18,-0.019,0,28.3,41.1
08-03-22,14:19:25,29.864893,77.899187,39,48,49,0,0.02,-0.018,0.18,-0.019,0,28.3,40.8
08-03-22,14:19:28,29.864893,77.899187,39,48,50,0,0.02,-0.019,0.18,-0.019,0,28.4,40.7
08-03-22,14:19:31,29.864893,77.899187,39,47,48,0,0.02,-0.019,0.18,-0.018,0,28.4,40.7
08-03-22,14:19:34,29.86489,77.899162,38,47,49,0,0.02,-0.019,0.18,-0.019,0,28.4,40.9
08-03-22,14:19:37,29.86489,77.899162,39,47,50,0,0.02,-0.019,0.18,-0.019,0,28.4,41.3
08-03-22,14:19:40,29.86489,77.899162,39,47,49,0,0.02,-0.019,0.18,-0.018,0,28.4,41.9
08-03-22,14:19:43,29.86454,77.897967,40,47,47,0,0.02,-0.019,0.18,-0.018,0,28.5,42.6
08-03-22,14:19:46,29.86454,77.897967,39,47,48,0,0.021,-0.019,0.18,-0.018,0,28.5,42.8
08-03-22,14:19:49,29.86454,77.897967,40,47,49,0,0.02,-0.019,0.18,-0.018,0,28.5,42.8
08-03-22,14:19:52,29.86454,77.897967,40,47,48,0,0.02,-0.019,0.18,-0.018,0,28.5,42.9
08-03-22,14:19:55,29.864543,77.897941,39,46,48,0,0.02,-0.019,0.18,-0.019,0,28.5,42.9
08-03-22,14:19:58,29.864543,77.897941,39,46,46,0,0.021,-0.019,0.18,-0.019,0,28.5,42.6
08-03-22,14:20:01,29.864543,77.897941,39,46,47,0,0.021,-0.019,0.18,-0.019,0,28.6,42.7
08-03-22,14:20:04,29.863523,77.899098,39,46,48,0,0.021,-0.019,0.19,-0.019,0,28.6,42.7
08-03-22,14:20:07,29.863523,77.899098,39,46,48,0,0.021,-0.019,0.19,-0.019,0,28.7,42.4
08-03-22,14:20:10,29.863523,77.899098,39,46,47,0,0.021,-0.019,0.19,-0.019,0,28.7,42
08-03-22,14:20:13,29.863564,77.899124,38,46,48,0,0.021,-0.019,0.19,-0.019,0,28.7,41.4
08-03-22,14:20:16,29.863564,77.899124,38,46,48,0,0.021,-0.019,0.19,-0.019,0,28.7,41.2
08-03-22,14:20:18,29.863564,77.899124,37,45,46,0,0.021,-0.019,0.19,-0.019,0,28.8,41.3
08-03-22,14:20:21,29.863564,77.899124,37,45,45,0,0.021,-0.019,0.19,-0.019,0,28.8,41.3
08-03-22,14:20:24,29.863599,77.899149,37,45,45,0,0.021,-0.019,0.19,-0.019,0,28.8,41.9
08-03-22,14:20:27,29.863599,77.899149,37,45,46,0,0.021,-0.019,0.19,-0.019,0,28.8,42.6
08-03-22,14:20:30,29.863599,77.899149,37,46,47,0,0.021,-0.019,0.19,-0.019,0,28.8,42.8
08-03-22,14:20:33,29.86365,77.899111,36,46,48,0,0.021,-0.019,0.19,-0.019,0,28.8,42.4
08-03-22,14:20:36,29.86365,77.899111,36,45,46,0,0.021,-0.019,0.19,-0.019,0,28.9,41.6
08-03-22,14:20:39,29.86365,77.899111,37,45,48,0,0.022,-0.02,0.19,-0.019,0,28.9,41.1
08-03-22,14:20:42,29.864063,77.899098,37,45,49,0,0.022,-0.019,0.19,-0.019,0,28.9,40.7
08-03-22,14:20:45,29.864063,77.899098,37,45,48,0,0.021,-0.019,0.19,-0.019,0,28.9,40.8
08-03-22,14:20:48,29.864063,77.899098,37,45,46,0,0.021,-0.019,0.19,-0.019,0,28.9,40.8
08-03-22,14:20:51,29.864063,77.899098,38,45,46,0,0.021,-0.019,0.19,-0.019,0,28.9,40.5
08-03-22,14:20:54,29.864429,77.899009,38,46,47,0,0.021,-0.019,0.19,-0.019,0,28.9,40.5
08-03-22,14:20:57,29.864429,77.899009,38,46,46,0,0.021,-0.019,0.19,-0.019,0,28.9,40.2
08-03-22,14:21:00,29.864429,77.899009,37,45,48,0,0.021,-0.019,0.19,-0.019,0,29,40
08-03-22,14:21:03,29.864814,77.899442,37,45,48,0,0.021,-0.019,0.19,-0.019,0,29,40.1
08-03-22,14:21:06,29.864814,77.899442,37,46,47,0,0.021,-0.019,0.19,-0.019,0,29.1,40.3
08-03-22,14:21:09,29.864814,77.899442,37,46,47,0,0.02,-0.019,0.19,-0.019,0,29.2,40.4
08-03-22,14:21:12,29.865163,77.899925,36,46,47,0,0.02,-0.019,0.19,-0.019,0,29.2,40.2
08-03-22,14:21:15,29.865163,77.899925,35,45,45,0,0.02,-0.019,0.19,-0.019,0,29.2,39.9
08-03-22,14:21:18,29.865163,77.899925,35,44,46,0,0.021,-0.019,0.19,-0.018,0,29.3,39.5
08-03-22,14:21:21,29.865163,77.899925,35,44,44,0,0.021,-0.019,0.19,-0.018,0,29.3,39.4
08-03-22,14:21:24,29.86579,77.89981,35,44,45,0,0.021,-0.019,0.19,-0.018,0,29.4,39.2
08-03-22,14:21:24,29.86579,77.89981,35,44,45,0,0.021,-0.019,0.19,-0.018,0,29.4,38.8
08-03-22,14:21:27,29.86579,77.89981,35,44,46,0,0.021,-0.018,0.18,-0.018,0,29.4,38.7
08-03-22,14:21:30,29.8664,77.900001,35,45,46,0,0.021,-0.018,0.18,-0.018,0,29.4,38.8
08-03-22,14:21:33,29.8664,77.900001,35,45,47,0,0.021,-0.018,0.18,-0.018,0,29.5,38.8
08-03-22,14:21:36,29.8664,77.900001,35,44,44,0,0.021,-0.018,0.18,-0.018,0,29.5,38.7
08-03-22,14:21:39,29.8664,77.900001,35,44,44,0,0.021,-0.018,0.18,-0.018,0,29.5,38.6
08-03-22,14:21:42,29.866991,77.899988,36,44,45,0,0.021,-0.018,0.18,-0.018,0,29.6,38.9
08-03-22,14:21:45,29.866991,77.899988,38,45,46,0,0.021,-0.018,0.18,-0.019,0,29.6,39.5
08-03-22,14:21:48,29.866991,77.899988,38,46,48,0,0.02,-0.019,0.18,-0.019,0,29.6,39.9
08-03-22,14:21:51,29.867668,77.899836,38,47,47,0,0.02,-0.018,0.18,-0.019,0,29.6,39.9
08-03-22,14:21:56,29.867668,77.899836,38,47,47,0,0.021,-0.018,0.18,-0.019,0,29.6,39.9
08-03-22,14:21:59,29.867668,77.899836,37,46,46,0,0.021,-0.019,0.19,-0.019,0,29.7,39.5
08-03-22,14:22:02,29.868199,77.89967,37,45,45,0,0.02,-0.019,0.19,-0.019,0,29.7,39.1
08-03-22,14:22:05,29.868199,77.89967,38,45,45,0,0.02,-0.019,0.19,-0.019,0,29.7,39
08-03-22,14:22:08,29.868199,77.89967,38,45,45,0,0.02,-0.019,0.19,-0.019,0,29.7,39
08-03-22,14:22:11,29.868199,77.89967,38,46,46,0,0.02,-0.019,0.19,-0.019,0,29.7,39.3
08-03-22,14:22:14,29.868755,77.899569,38,46,48,0,0.021,-0.019,0.19,-0.019,0,29.8,39.4
08-03-22,14:22:17,29.868755,77.899569,38,46,49,0,0.021,-0.019,0.19,-0.019,0,29.8,39.3
08-03-22,14:22:20,29.868755,77.899569,37,46,47,0,0.021,-0.019,0.19,-0.019,0,29.8,39.2
08-03-22,14:22:23,29.869026,77.89948,36,45,46,0,0.021,-0.019,0.19,-0.019,0,29.8,38.9
08-03-22,14:22:26,29.869026,77.89948,36,45,45,0,0.021,-0.02,0.19,-0.019,0,29.7,38.9
08-03-22,14:22:30,29.869026,77.89948,36,44,46,0,0.021,-0.02,0.19,-0.019,0,29.7,39
08-03-22,14:22:33,29.869601,77.899314,36,44,46,0,0.021,-0.02,0.19,-0.019,0,29.8,39.1
08-03-22,14:22:36,29.869601,77.899314,36,45,46,0,0.021,-0.02,0.19,-0.019,0,29.8,39
08-03-22,14:22:39,29.869601,77.899314,37,45,45,0,0.021,-0.019,0.19,-0.019,0,29.8,39.2
08-03-22,14:22:43,29.869601,77.899314,37,45,48,0,0.021,-0.019,0.19,-0.019,0,29.8,38.9
08-03-22,14:22:46,29.870199,77.898831,36,45,49,0,0.021,-0.019,0.19,-0.019,0,29.8,38.7
08-03-22,14:22:49,29.870199,77.898831,36,45,47,0,0.021,-0.019,0.19,-0.019,0,29.8,38.5
08-03-22,14:22:52,29.870199,77.898831,36,44,44,0,0.02,-0.019,0.19,-0.019,0,29.8,38.6
08-03-22,14:22:55,29.870695,77.898284,37,44,45,0,0.02,-0.019,0.19,-0.019,0,29.8,38.5
08-03-22,14:22:58,29.870695,77.898284,37,45,47,0,0.02,-0.019,0.19,-0.019,0,29.9,38.4
08-03-22,14:23:01,29.870695,77.898284,38,45,46,0,0.02,-0.019,0.19,-0.019,0,29.9,38.6
08-03-22,14:23:04,29.871254,77.897674,38,46,47,0,0.021,-0.019,0.19,-0.019,0,29.9,38.8
08-03-22,14:23:07,29.871254,77.897674,39,47,48,0,0.021,-0.02,0.19,-0.019,0,29.8,38.9
08-03-22,14:23:10,29.871254,77.897674,39,48,52,0,0.021,-0.02,0.19,-0.019,0,29.9,38.6
08-03-22,14:23:13,29.871254,77.897674,41,48,53,0,0.021,-0.02,0.19,-0.019,0,29.8,38.8
08-03-22,14:23:15,29.871737,77.897115,42,49,51,0,0.021,-0.02,0.19,-0.019,0,29.9,38.5
08-03-22,14:23:18,29.871737,77.897115,42,52,54,0,0.021,-0.02,0.19,-0.019,0,29.8,38.4
08-03-22,14:23:21,29.871737,77.897115,43,53,54,0,0.021,-0.02,0.19,-0.019,0,29.9,38.6
08-03-22,14:23:24,29.872055,77.896619,43,53,54,0,0.021,-0.02,0.19,-0.019,0,29.9,38.3
08-03-22,14:23:27,29.872055,77.896619,43,54,55,0,0.021,-0.019,0.19,-0.019,0,29.9,38.2
08-03-22,14:23:30,29.872055,77.896619,43,54,55,0,0.021,-0.019,0.19,-0.019,0,29.9,38.5
08-03-22,14:23:33,29.872055,77.896619,44,55,55,0,0.021,-0.019,0.19,-0.019,0,29.9,38.4
08-03-22,14:23:36,29.87237,77.89611,44,55,57,0,0.021,-0.02,0.19,-0.019,0,29.9,37.8
08-03-22,14:23:39,29.87237,77.89611,44,56,59,0,0.021,-0.02,0.19,-0.019,0,30,37.6
08-03-22,14:23:42,29.87237,77.89611,44,56,59,0,0.021,-0.019,0.19,-0.019,0,30,37.7
08-03-22,14:23:45,29.872678,77.895563,44,56,58,0,0.021,-0.02,0.19,-0.019,0,30.1,37.7
08-03-22,14:23:48,29.872678,77.895563,43,56,58,0,0.021,-0.02,0.19,-0.019,0,30.1,36.8
08-03-22,14:23:51,29.872678,77.895563,41,55,57,0,0.021,-0.02,0.19,-0.019,0,30.1,35.9
08-03-22,14:23:54,29.873085,77.894966,40,52,55,0,0.021,-0.02,0.19,-0.019,0,30.1,35.1
08-03-22,14:23:57,29.873085,77.894966,39,51,53,0,0.021,-0.02,0.19,-0.019,0,30.1,34.6
08-03-22,14:24:00,29.873085,77.894966,39,50,51,0,0.021,-0.02,0.19,-0.019,0,30.1,34.3
